rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__subsample,param_model__colsample_bytree,param_model__min_child_weight,param_model__reg_alpha,param_model__reg_lambda
1,-0.5035079838662289,0.01645202300129919,-0.38059133543677715,0.004817941682369173,300,4,0.03,0.8,0.6,1,0.0,0.5
2,-0.5100722307013132,0.01731271709141418,-0.3642517043386395,0.005781613355841036,500,4,0.03,1.0,0.6,1,1.0,2.0
3,-0.5166947127803222,0.01519384175965473,-0.38948023750602595,0.004429460678739571,500,3,0.05,0.6,0.8,7,1.0,1.0
4,-0.5193478678472465,0.011603542350400422,-0.3800358306475866,0.00333030559438571,500,3,0.05,0.6,0.8,5,0.0,1.0
5,-0.5238049867865509,0.018862069429106575,-0.2909739602858728,0.004093328488576248,500,4,0.05,0.8,1.0,3,1.0,0.5
6,-0.5251469034639482,0.02050449751483774,-0.24613555090146816,0.002017377110666985,300,8,0.03,0.6,1.0,7,0.5,0.5
7,-0.5255066390210296,0.020315344673899893,-0.16168675299237323,0.006283345617726303,900,6,0.03,1.0,0.6,1,0.0,1.0
8,-0.52636912803142,0.009122923624108908,-0.3407517884031125,0.006161810311546524,500,3,0.08,0.6,0.6,3,0.1,0.5
9,-0.5282895960586486,0.018255998343690908,-0.1273087271756486,0.0014760431015133793,700,8,0.03,0.6,0.6,1,0.5,5.0
10,-0.5294797616549252,0.015542328350282759,-0.3033396986498075,0.004482021086434693,700,3,0.08,0.8,0.6,1,0.5,0.5
11,-0.5300868097212768,0.013988042525501837,-0.335817620966242,0.004466506506070531,500,3,0.1,1.0,0.8,5,0.5,0.5
12,-0.537667987392312,0.014054711594944069,-0.27226296898348,0.008730077186319272,900,4,0.05,1.0,0.8,7,0.0,0.5
13,-0.5492368284938537,0.02615129039311459,-0.15682433879014573,0.0023930800254665617,700,6,0.05,0.8,0.6,7,0.5,2.0
14,-0.5556232657026693,0.021156202450298818,-0.20740584222958475,0.00452988264667698,900,4,0.08,1.0,0.8,5,1.0,1.0
15,-0.5608991769191516,0.019743166099378862,-0.1453036197268881,0.00126753874154406,700,6,0.05,0.6,0.8,7,0.0,0.5
16,-0.5824083775616238,0.013685700877075716,-0.02477361768161348,0.0006204480085355314,900,6,0.1,0.8,0.6,5,0.0,1.0
